(base) levilowther@Levis-MacBook-Pro streaming-02-multiple-processes-1 % python3 process_streaming_Lowther.py
2024-05-08 21:39:44,895 - INFO - ===============================================
2024-05-08 21:39:44,895 - INFO - Starting fake streaming process.
2024-05-08 21:39:44,895 - INFO - Starting to stream data from real_estate_prices.csv to ('localhost', 9999).
2024-05-08 21:39:44,895 - INFO - Opened for reading: real_estate_prices.csv.
2024-05-08 21:39:44,895 - INFO - Skipped header row: ['Serial Number', 'List Year', 'Date Recorded', 'Town', 'Address', 'Assessed Value', 'Sale Amount', 'Sales Ratio', 'Property Type', 'Residential Type', 'Non Use Code', 'Assessor Remarks', 'OPM remarks', 'Location']
2024-05-08 21:39:44,897 - INFO - Sent: b'[2020348, 2020, 9/13/21, Ansonia, 230 WAKELEE AVE, 150500, 325000, 0.463, Commercial, , , , , ]' on port 9999. Hit CTRL-c to stop.
2024-05-08 21:39:47,903 - INFO - Sent: b'[20002, 2020, 10/2/20, Ashford, 390 TURNPIKE RD, 253000, 430000, 0.5883, Residential, Single Family, , , , ]' on port 9999. Hit CTRL-c to stop.
2024-05-08 21:39:50,906 - INFO - Sent: b'[210317, 2021, 7/5/22, Avon, 53 COTSWOLD WAY, 329730, 805000, 0.4096, Residential, Single Family, , , , POINT (-72.846365959 41.781677018)]' on port 9999. Hit CTRL-c to stop.
2024-05-08 21:39:53,909 - INFO - Sent: b'[200212, 2020, 3/9/21, Avon, 5 CHESTNUT DRIVE, 130400, 179900, 0.7248, Residential, Condo, , , , ]' on port 9999. Hit CTRL-c to stop.
2024-05-08 21:39:56,916 - INFO - Sent: b'[200243, 2020, 4/13/21, Avon, 111 NORTHINGTON DRIVE, 619290, 890000, 0.6958, Residential, Single Family, , , , ]' on port 9999. Hit CTRL-c to stop.
2024-05-08 21:39:59,922 - INFO - Sent: b'[200377, 2020, 7/2/21, Avon, 70 FAR HILLS DRIVE, 862330, 1447500, 0.5957, Residential, Single Family, , , , ]' on port 9999. Hit CTRL-c to stop.
2024-05-08 21:40:02,928 - INFO - Sent: b'[200109, 2020, 12/9/20, Avon, 57 FAR HILLS DRIVE, 847520, 1250000, 0.678, Residential, Single Family, , , , ]' on port 9999. Hit CTRL-c to stop.
2024-05-08 21:40:05,934 - INFO - Sent: b'[2020180, 2020, 3/1/21, Berlin, 1539 FARMINGTON AVE, 234200, 130000, 1.8015, Residential, Two Family, 08 - Part Interest, , , ]' on port 9999. Hit CTRL-c to stop.
2024-05-08 21:40:08,940 - INFO - Sent: b'[2020313, 2020, 7/1/21, Berlin, 216 WATCH HILL RD, 412000, 677500, 0.6081, Residential, Single Family, , , , ]' on port 9999. Hit CTRL-c to stop.
2024-05-08 21:40:11,947 - INFO - Sent: b'[200097, 2020, 6/4/21, Bethany, 23 AMITY RD, 511000, 795000, 0.6427, Commercial, , , , , ]' on port 9999. Hit CTRL-c to stop.
2024-05-08 21:40:14,953 - INFO - Sent: b'[210045, 2021, 4/29/22, Bethlehem, 89 LONG MEADOW RD, 229900, 561850, 0.4091, Residential, Single Family, , , , POINT (-73.21257902 41.666959986)]' on port 9999. Hit CTRL-c to stop.
